prname,date,numconf,numdeaths
Quebec,4/1/2020,4611,33
Newfoundland and Labrador,4/1/2020,175,1
New Brunswick,4/1/2020,81,0
Nova Scotia,4/1/2020,173,0
Prince Edward Island,4/1/2020,21,0
Yukon,4/1/2020,5,0
Northwest Territories,4/1/2020,2,0
Nunavut,4/1/2020,0,0
Repatriated travellers,4/1/2020,13,0
Canada,4/1/2020,9595,109
British Columbia,4/2/2020,1121,31
Alberta,4/2/2020,968,13
Saskatchewan,4/2/2020,206,3
Manitoba,4/2/2020,152,1
Ontario,4/2/2020,2793,53
Quebec,4/2/2020,5518,36
Newfoundland and Labrador,4/2/2020,183,1
New Brunswick,4/2/2020,91,0
Nova Scotia,4/2/2020,193,0
Prince Edward Island,4/2/2020,22,0
Yukon,4/2/2020,6,0
Northwest Territories,4/2/2020,2,0
Nunavut,4/2/2020,0,0
Repatriated travellers,4/2/2020,13,0
Canada,4/2/2020,11268,138
British Columbia,4/3/2020,1174,35
Alberta,4/3/2020,1075,18
Saskatchewan,4/3/2020,220,3
Manitoba,4/3/2020,164,2
Ontario,4/3/2020,3255,67
Quebec,4/3/2020,6101,61
Newfoundland and Labrador,4/3/2020,183,1
New Brunswick,4/3/2020,95,0
Nova Scotia,4/3/2020,207,0
Prince Edward Island,4/3/2020,22,0
Yukon,4/3/2020,6,0
Northwest Territories,4/3/2020,4,0
Nunavut,4/3/2020,0,0
Repatriated travellers,4/3/2020,13,0
Canada,4/3/2020,12519,187
British Columbia,4/4/2020,1203,38
Alberta,4/4/2020,1075,18
Saskatchewan,4/4/2020,231,3
Manitoba,4/4/2020,172,2
Ontario,4/4/2020,3630,94
Quebec,4/4/2020,6997,75
Newfoundland and Labrador,4/4/2020,195,1
New Brunswick,4/4/2020,98,0
Nova Scotia,4/4/2020,236,0
Prince Edward Island,4/4/2020,22,0
Yukon,4/4/2020,6,0
Northwest Territories,4/4/2020,4,0
Nunavut,4/4/2020,0,0
Repatriated travellers,4/4/2020,13,0
Canada,4/4/2020,13882,231
British Columbia,4/5/2020,1203,38
Alberta,4/5/2020,1250,23
Saskatchewan,4/5/2020,249,3
Manitoba,4/5/2020,187,2
Ontario,4/5/2020,4038,119
Quebec,4/5/2020,7944,94
Newfoundland and Labrador,4/5/2020,217,1
New Brunswick,4/5/2020,101,0
Nova Scotia,4/5/2020,262,0
Prince Edward Island,4/5/2020,22,0
Yukon,4/5/2020,6,0
Northwest Territories,4/5/2020,4,0
Nunavut,4/5/2020,0,0
Repatriated travellers,4/5/2020,13,0
Canada,4/5/2020,15496,280
British Columbia,4/6/2020,1266,39
Alberta,4/6/2020,1348,24
Saskatchewan,4/6/2020,253,3
Manitoba,4/6/2020,190,2
Ontario,4/6/2020,4347,132
Quebec,4/6/2020,8580,121
Newfoundland and Labrador,4/6/2020,226,2
New Brunswick,4/6/2020,103,0
Nova Scotia,4/6/2020,293,0
Prince Edward Island,4/6/2020,22,0
Yukon,4/6/2020,7,0
Northwest Territories,4/6/2020,5,0
Nunavut,4/6/2020,0,0
Repatriated travellers,4/6/2020,13,0
Canada,4/6/2020,16653,323
British Columbia,4/7/2020,1291,43
Alberta,4/7/2020,1373,26
Saskatchewan,4/7/2020,260,3
Manitoba,4/7/2020,203,3
Ontario,4/7/2020,4726,153
Quebec,4/7/2020,9340,150
Newfoundland and Labrador,4/7/2020,228,2
New Brunswick,4/7/2020,105,0
Nova Scotia,4/7/2020,310,0
Prince Edward Island,4/7/2020,22,0
Yukon,4/7/2020,7,0
Northwest Territories,4/7/2020,5,0
Nunavut,4/7/2020,0,0
Repatriated travellers,4/7/2020,13,0
Canada,4/7/2020,17883,380
British Columbia,4/8/2020,1336,48
Alberta,4/8/2020,1423,29
